CustomerID;Genre;Age;Annual_Income;Spending_score
0003;Female;20;16.0;6.0
0004;Female;23;16.0;77.0
0005;Female;31;17.0;40.0
0006;Female;22;17.0;76.0
0007;Female;35;18.0;6.0
0008;Female;23;18.0;94.0
0010;Female;30;19.0;72.0
0012;Female;35;19.0;99.0
0013;Female;58;20.0;15.0
0014;Female;24;20.0;77.0
0017;Female;35;21.0;35.0
0020;Female;35;23.0;98.0
0023;Female;46;25.0;5.0
0025;Female;54;28.0;14.0
0027;Female;45;28.0;32.0
0029;Female;40;29.0;31.0
0030;Female;23;29.0;87.0
0032;Female;21;30.0;73.0
0035;Female;49;33.0;14.0
0036;Female;21;33.0;81.0
0037;Female;42;34.0;17.0
0038;Female;30;34.0;73.0
0039;Female;36;37.0;26.0
0040;Female;20;37.0;75.0
0041;Female;65;38.0;35.0
0044;Female;31;39.0;61.0
0045;Female;49;39.0;28.0
0046;Female;24;39.0;65.0
0047;Female;50;40.0;55.0
0048;Female;27;40.0;47.0
0049;Female;29;40.0;42.0
0050;Female;31;40.0;42.0
0051;Female;49;42.0;52.0
0053;Female;31;43.0;54.0
0055;Female;50;43.0;45.0
0057;Female;51;44.0;50.0
0059;Female;27;46.0;51.0
0063;Female;67;47.0;52.0
0064;Female;54;47.0;59.0
0067;Female;43;48.0;50.0
0068;Female;68;48.0;48.0
0070;Female;32;48.0;47.0
0072;Female;47;49.0;42.0
0073;Female;60;50.0;49.0
0074;Female;60;50.0;56.0
0077;Female;45;54.0;53.0
0079;Female;23;54.0;52.0
0080;Female;49;54.0;42.0
0084;Female;46;54.0;44.0
0085;Female;21;54.0;57.0
0087;Female;55;57.0;58.0
0088;Female;22;57.0;55.0
0089;Female;34;58.0;60.0
0090;Female;50;58.0;46.0
0091;Female;68;59.0;55.0
0094;Female;40;60.0;40.0
0095;Female;32;60.0;42.0
0097;Female;47;60.0;47.0
0098;Female;27;60.0;50.0
0101;Female;23;62.0;41.0
0102;Female;49;62.0;48.0
0106;Female;21;62.0;42.0
0107;Female;66;63.0;50.0
0112;Female;19;63.0;54.0
0113;Female;38;64.0;42.0
0115;Female;18;65.0;48.0
0116;Female;19;65.0;50.0
0117;Female;63;65.0;43.0
0118;Female;49;65.0;59.0
0119;Female;51;67.0;43.0
0120;Female;50;67.0;57.0
0122;Female;38;67.0;40.0
0123;Female;40;69.0;58.0
0125;Female;23;70.0;29.0
0126;Female;31;70.0;77.0
0133;Female;25;72.0;34.0
0134;Female;31;72.0;71.0
0136;Female;29;73.0;88.0
0137;Female;44;73.0;7.0
0140;Female;35;74.0;72.0
0141;Female;57;75.0;5.0
0143;Female;28;76.0;40.0
0144;Female;32;76.0;87.0
0148;Female;32;77.0;74.0
0149;Female;34;78.0;22.0
0153;Female;44;78.0;20.0
0154;Female;38;78.0;76.0
0155;Female;47;78.0;16.0
0156;Female;27;78.0;89.0
0158;Female;30;78.0;78.0
0160;Female;30;78.0;73.0
0161;Female;56;79.0;35.0
0162;Female;29;79.0;83.0
0164;Female;31;81.0;93.0
0166;Female;36;85.0;75.0
0168;Female;33;86.0;95.0
0169;Female;36;87.0;27.0
0175;Female;52;88.0;13.0
0176;Female;30;88.0;86.0
0181;Female;37;97.0;32.0
0182;Female;32;97.0;86.0
0184;Female;29;98.0;88.0
0185;Female;41;99.0;39.0
0187;Female;54;101.0;24.0
0189;Female;41;103.0;17.0
0190;Female;36;103.0;85.0
0191;Female;34;103.0;23.0
0192;Female;32;103.0;69.0
0194;Female;38;113.0;91.0
0195;Female;47;120.0;16.0
0196;Female;35;120.0;79.0
0197;Female;45;126.0;28.0
