CustomerID;Genre;Age;Annual_Income;Spending_score
0001;Male;19;15.0;39.0
0002;Male;21;15.0;81.0
0009;Male;64;19.0;3.0
0011;Male;67;19.0;14.0
0015;Male;37;20.0;13.0
0016;Male;22;20.0;79.0
0018;Male;20;21.0;66.0
0019;Male;52;23.0;29.0
0021;Male;35;24.0;35.0
0022;Male;25;24.0;73.0
0024;Male;31;25.0;73.0
0026;Male;29;28.0;82.0
0028;Male;35;28.0;61.0
0031;Male;60;30.0;4.0
0033;Male;53;33.0;4.0
0034;Male;18;33.0;92.0
0042;Male;24;38.0;92.0
0043;Male;48;39.0;36.0
0052;Male;33;42.0;60.0
0054;Male;59;43.0;60.0
0056;Male;47;43.0;41.0
0058;Male;69;44.0;46.0
0060;Male;53;46.0;46.0
0061;Male;70;46.0;56.0
0062;Male;19;46.0;55.0
0065;Male;63;48.0;51.0
0066;Male;18;48.0;59.0
0069;Male;19;48.0;59.0
0071;Male;70;49.0;55.0
0075;Male;59;54.0;47.0
0076;Male;26;54.0;54.0
0078;Male;40;54.0;48.0
0081;Male;57;54.0;51.0
0082;Male;38;54.0;55.0
0083;Male;67;54.0;41.0
0086;Male;48;54.0;46.0
0092;Male;18;59.0;41.0
0093;Male;48;60.0;49.0
0096;Male;24;60.0;52.0
0099;Male;48;61.0;42.0
0100;Male;20;61.0;49.0
0103;Male;67;62.0;59.0
0104;Male;26;62.0;55.0
0105;Male;49;62.0;56.0
0108;Male;54;63.0;46.0
0109;Male;68;63.0;43.0
0110;Male;66;63.0;48.0
0111;Male;65;63.0;52.0
0114;Male;19;64.0;46.0
0121;Male;27;67.0;56.0
0124;Male;39;69.0;91.0
0127;Male;43;71.0;35.0
0128;Male;40;71.0;95.0
0129;Male;59;71.0;11.0
0130;Male;38;71.0;75.0
0131;Male;47;71.0;9.0
0132;Male;39;71.0;75.0
0135;Male;20;73.0;5.0
0138;Male;32;73.0;73.0
0139;Male;19;74.0;10.0
0142;Male;32;75.0;93.0
0145;Male;25;77.0;12.0
0146;Male;28;77.0;97.0
0147;Male;48;77.0;36.0
0150;Male;34;78.0;90.0
0151;Male;43;78.0;17.0
0152;Male;39;78.0;88.0
0157;Male;37;78.0;1.0
0159;Male;34;78.0;1.0
0163;Male;19;81.0;5.0
0165;Male;50;85.0;26.0
0167;Male;42;86.0;20.0
0170;Male;32;87.0;63.0
0171;Male;40;87.0;13.0
0172;Male;28;87.0;75.0
0173;Male;36;87.0;10.0
0174;Male;36;87.0;92.0
0177;Male;58;88.0;15.0
0178;Male;27;88.0;69.0
0179;Male;59;93.0;14.0
0180;Male;35;93.0;90.0
0183;Male;46;98.0;15.0
0186;Male;30;99.0;97.0
0188;Male;28;101.0;68.0
0193;Male;33;113.0;8.0
0198;Male;32;126.0;74.0
0199;Male;32;137.0;18.0
0200;Male;30;137.0;83.0
